aX,aY,aZ,gX,gY,gZ
0.634,0.564,0.645,451.843,121.460,-193.420
0.580,0.471,0.547,473.999,112.671,-190.308
0.476,0.406,0.479,492.432,108.643,-188.354
0.404,0.340,0.506,507.324,103.271,-190.186
0.359,0.261,0.589,514.038,92.468,-190.613
0.385,0.189,0.674,509.888,74.097,-185.181
0.501,0.166,0.770,503.235,50.842,-170.593
0.445,-0.015,0.845,506.226,26.611,-143.372
0.379,-0.109,0.850,505.066,12.695,-130.798
0.292,-0.186,0.934,501.099,8.972,-137.512
0.208,-0.188,0.943,490.967,9.033,-153.748
0.226,-0.143,0.929,475.037,13.000,-170.776
0.228,-0.173,0.963,456.848,14.526,-180.725
0.058,-0.223,0.691,430.298,4.578,-185.913
0.337,-0.261,0.788,399.109,18.311,-180.969
0.285,-0.308,0.680,376.099,15.137,-169.128
0.219,-0.343,0.577,363.037,1.343,-152.344
0.140,-0.261,0.445,343.018,1.221,-140.747
-0.067,-0.266,0.226,320.618,4.700,-136.780
-0.196,-0.312,0.109,300.293,16.296,-141.968
-0.232,-0.372,0.075,280.945,26.062,-152.161
-0.214,-0.489,0.001,263.306,26.367,-156.921
-0.198,-0.642,-0.073,252.991,20.325,-159.424
-0.170,-0.738,-0.188,249.817,8.911,-163.818
-0.160,-0.817,-0.234,248.718,-0.488,-166.565
-0.198,-0.882,-0.206,245.728,-7.629,-166.016
-0.214,-0.931,-0.122,236.267,-16.541,-164.368
-0.181,-0.946,-0.011,220.581,-29.480,-160.400
-0.081,-0.953,0.076,199.890,-44.312,-151.428
0.012,-0.992,0.218,172.424,-54.626,-138.245
0.114,-1.042,0.341,135.742,-59.692,-121.277
0.243,-1.070,0.434,99.060,-64.819,-99.060
0.175,-1.181,0.323,65.552,-69.397,-71.533
0.339,-1.231,0.424,37.109,-59.570,-50.537
0.177,-1.195,0.125,19.653,-68.054,-40.405
0.156,-1.161,0.066,12.878,-60.303,-26.611
0.045,-1.100,-0.049,6.958,-53.284,-12.512
-0.092,-1.045,-0.187,3.052,-54.077,-3.296
-0.145,-1.005,-0.237,4.272,-49.927,-1.099
-0.168,-0.994,-0.220,5.554,-45.166,-4.211
-0.163,-0.990,-0.214,4.822,-44.312,-10.681
-0.087,-1.006,-0.134,2.197,-45.044,-16.235
-0.018,-1.038,-0.027,-5.798,-48.889,-15.015
0.049,-1.064,0.015,-21.362,-53.894,-7.324
0.099,-1.072,0.031,-36.804,-55.298,2.075
0.093,-1.096,0.036,-47.241,-50.598,9.460
0.065,-1.107,0.000,-48.340,-42.480,13.062
0.054,-1.116,0.002,-40.161,-29.419,10.193
0.036,-1.150,0.033,-29.846,-12.756,3.296
0.035,-1.137,0.054,-20.935,0.122,-2.563
0.011,-1.127,0.079,-12.817,5.432,-3.967
-0.014,-1.133,0.141,-9.705,6.836,-3.845
0.009,-1.137,0.216,-12.451,5.798,-5.310
0.068,-1.143,0.254,-18.005,4.333,-6.775
0.106,-1.167,0.252,-26.245,4.883,-4.456
0.117,-1.177,0.209,-34.363,6.714,0.061
0.114,-1.184,0.158,-37.354,9.949,4.578
0.107,-1.184,0.105,-35.095,15.930,5.676
0.103,-1.163,0.060,-29.907,23.560,3.784
0.081,-1.136,0.043,-24.292,30.884,1.404
0.057,-1.112,0.067,-21.729,35.950,0.305
0.054,-1.087,0.107,-25.513,38.086,-0.305
0.076,-1.063,0.157,-35.889,39.429,0.183
0.087,-1.022,0.232,-52.124,40.771,2.747
0.080,-0.997,0.326,-75.623,41.870,8.240
0.071,-0.958,0.409,-108.154,42.053,15.686
0.074,-0.901,0.463,-146.790,41.016,24.841
0.072,-0.878,0.509,-188.416,40.222,36.560
0.070,-0.855,0.551,-230.591,40.344,48.950
0.042,-0.846,0.559,-269.043,40.710,62.317
0.041,-0.852,0.616,-298.645,45.349,76.477
0.041,-0.891,0.720,-320.068,50.354,91.125
0.054,-0.872,0.766,-339.722,50.293,105.286
0.192,-0.585,0.746,-356.201,49.988,121.582
0.159,-0.769,0.990,-361.145,54.504,154.541
0.073,-0.981,1.126,-375.366,56.702,185.364
0.047,-0.928,1.092,-408.264,53.345,186.829
0.094,-0.806,1.055,-437.744,48.828,178.955
