aX,aY,aZ,gX,gY,gZ
0.307,-0.741,1.021,103.638,-105.591,39.673
0.249,-0.375,1.372,109.314,-90.576,41.504
0.196,-0.084,1.577,98.633,-54.688,26.550
0.270,0.105,1.485,65.430,-8.423,0.732
0.263,-0.019,1.244,14.771,30.884,-14.648
0.143,-0.355,0.815,-46.326,53.467,-15.442
0.067,-0.742,0.230,-104.370,59.937,-8.423
-0.073,-1.088,-0.389,-137.085,53.650,5.981
-0.222,-1.352,-0.784,-133.667,39.429,15.625
-0.212,-1.455,-1.054,-104.980,21.484,14.526
-0.171,-1.516,-0.972,-64.697,2.136,10.193
-0.097,-1.356,-0.810,-27.649,-18.311,3.479
-0.037,-1.211,-0.507,-4.272,-29.907,1.404
0.054,-0.997,-0.224,2.197,-34.180,-0.854
0.135,-0.836,0.006,-0.732,-33.936,-2.075
0.203,-0.822,0.113,-10.315,-27.283,-3.784
0.233,-0.887,0.119,-25.146,-14.587,-5.554
0.226,-0.980,0.120,-35.767,-0.854,-7.996
0.177,-1.070,0.078,-40.161,10.132,-9.888
0.171,-1.154,-0.016,-42.175,17.090,-11.841
0.167,-1.226,-0.061,-41.138,19.226,-12.695
0.124,-1.281,-0.154,-40.649,17.883,-10.498
0.090,-1.304,-0.243,-39.001,14.343,-6.287
0.059,-1.269,-0.255,-33.447,7.263,-2.563
0.054,-1.177,-0.167,-25.635,-2.808,1.465
0.090,-1.075,-0.069,-21.118,-13.489,6.226
0.108,-1.016,-0.014,-22.156,-20.264,11.108
0.128,-1.037,0.061,-21.362,-19.287,11.475
0.166,-1.047,0.112,-19.226,-12.207,7.935
0.181,-1.027,0.162,-16.907,-5.188,5.920
0.176,-1.015,0.223,-17.700,-0.366,7.568
0.183,-0.998,0.235,-24.841,1.831,12.451
0.190,-0.984,0.251,-37.048,4.028,20.996
0.173,-0.905,0.310,-55.298,2.747,30.701
0.141,-0.828,0.419,-80.444,-0.183,45.288
0.149,-0.763,0.419,-112.854,-4.883,61.768
0.180,-0.715,0.303,-144.836,-11.353,77.271
0.112,-0.708,0.249,-161.621,-14.832,88.623
0.014,-0.740,0.295,-158.386,-12.329,86.487
0.014,-0.725,0.388,-144.287,-4.578,69.214
0.054,-0.691,0.510,-128.418,2.625,49.133
0.088,-0.648,0.612,-119.446,8.789,34.485
0.106,-0.601,0.691,-122.925,15.503,27.405
0.108,-0.596,0.758,-139.099,21.423,25.635
0.116,-0.634,0.780,-164.307,27.161,28.259
0.128,-0.708,0.760,-191.223,31.555,36.072
0.141,-0.714,0.778,-211.182,32.776,47.485
0.109,-0.691,0.900,-229.431,28.259,59.631
0.047,-0.715,0.917,-265.381,19.897,73.669
0.028,-0.710,0.765,-307.800,14.832,88.928
-0.013,-0.745,0.578,-332.092,9.827,100.342
-0.113,-0.809,0.408,-336.060,6.531,103.027
-0.190,-0.778,0.287,-319.519,9.644,95.764
-0.234,-0.754,0.217,-279.968,18.127,78.186
-0.186,-0.733,0.250,-233.521,28.809,51.697
-0.114,-0.691,0.390,-190.857,35.156,22.522
-0.031,-0.589,0.623,-157.104,35.522,-2.014
0.014,-0.468,0.927,-139.893,32.227,-17.944
0.112,-0.395,1.178,-149.780,29.541,-26.672
0.228,-0.309,1.336,-189.331,26.184,-25.574
0.414,-0.250,1.475,-242.798,18.250,-15.137
0.556,-0.310,1.459,-302.002,1.770,4.822
0.750,-0.341,1.443,-362.122,-17.151,39.551
0.797,-0.385,1.344,-411.743,-41.138,89.417
0.681,-0.509,1.102,-443.604,-66.162,133.057
0.541,1.993,-0.470,73.486,-6.958,-15.381
0.582,2.267,-0.484,94.421,-4.272,-8.789
0.575,2.547,-0.491,119.751,-0.488,-10.864
0.482,2.782,-0.391,151.367,6.409,-23.254
0.355,2.849,-0.224,193.176,12.756,-49.683
0.277,2.802,-0.022,244.324,17.395,-89.233
0.210,2.586,0.116,302.612,21.362,-136.169
0.197,2.286,0.187,359.131,25.391,-185.608
0.157,1.890,0.234,408.081,34.363,-230.164
0.127,1.404,0.196,452.454,51.758,-267.151
0.161,1.062,0.116,495.728,75.317,-299.988
0.334,0.755,-0.164,525.330,101.257,-335.510
0.705,0.559,-0.567,537.476,136.414,-364.075
1.145,0.385,-0.963,549.866,181.946,-363.647
1.197,0.121,-1.300,552.856,216.309,-330.078
0.757,-0.109,-1.649,552.368,226.196,-289.368
0.182,-0.393,-1.749,585.754,203.308,-270.691
-0.049,-0.747,-1.700,647.705,151.001,-285.339
0.309,-0.955,-1.739,696.899,95.032,-314.331
0.705,-1.167,-1.688,721.619,55.847,-320.190
0.724,-1.245,-1.647,732.361,30.334,-289.612
0.464,-1.449,-1.462,749.817,17.700,-241.211
0.200,-1.641,-1.212,765.808,17.334,-206.909
-0.039,-1.685,-0.884,776.245,30.884,-192.688
-0.439,-1.804,-0.459,782.288,43.457,-190.613
-0.847,-1.737,0.025,772.461,49.377,-203.186
-1.008,-1.814,0.479,744.934,52.795,-234.375
-0.892,-1.783,0.707,680.664,60.181,-278.381
-0.881,-1.904,0.700,591.003,67.261,-307.434
-0.831,-2.488,0.705,511.108,78.735,-322.449
-0.712,-3.167,0.532,451.538,91.064,-330.383
-0.365,-3.555,0.857,421.265,93.201,-332.031
-0.102,-3.627,1.216,407.837,39.185,-336.182
0.209,-3.228,1.632,363.892,-21.362,-339.600
0.442,-2.379,1.752,277.649,-96.191,-319.031
0.603,-1.867,1.522,170.227,-155.396,-251.160
0.877,-0.837,1.296,82.947,-174.866,-112.122
0.171,-0.296,1.265,49.072,-186.157,73.547
-0.620,-0.082,1.115,23.437,-158.325,174.927
-0.761,0.206,0.733,-3.784,-88.074,148.987
-0.603,0.360,0.573,3.174,-27.039,78.064
-0.602,0.260,0.488,12.024,-4.089,28.076
-0.245,0.172,0.270,-29.968,1.526,-1.587
-0.063,-0.178,-0.186,-94.177,-12.390,2.075
-0.162,-0.700,-0.604,-136.047,-27.222,34.302
-0.283,-1.016,-0.879,-142.944,-33.569,44.312
-0.238,-1.171,-0.926,-106.018,-26.245,30.334
-0.169,-1.157,-0.694,-38.513,-8.118,7.263
-0.071,-0.993,-0.303,22.644,3.723,-15.686
-0.040,-0.783,0.033,53.345,3.357,-26.672
0.047,-0.633,0.159,46.753,-3.357,-24.414
0.101,-0.553,0.143,12.268,-9.705,-11.108
0.074,-0.570,-0.010,-30.273,-16.541,9.766
0.011,-0.682,-0.175,-59.143,-20.874,23.499
-0.050,-0.776,-0.295,-68.848,-21.790,21.484
-0.077,-0.835,-0.335,-63.599,-20.630,10.620
-0.048,-0.922,-0.333,-56.702,-18.555,-3.662
0.016,-1.064,-0.310,-51.636,-16.846,-15.747
0.107,-1.194,-0.315,-53.345,-13.367,-20.996
0.178,-1.259,-0.380,-60.608,-12.146,-16.785
0.184,-1.286,-0.414,-67.810,-17.334,-2.808
0.168,-1.305,-0.431,-69.275,-28.870,13.062
0.158,-1.256,-0.343,-63.660,-38.330,22.034
0.163,-1.166,-0.211,-51.086,-43.518,22.644
0.181,-1.108,-0.038,-38.818,-43.701,18.799
0.239,-1.048,0.126,-33.203,-41.931,12.573
0.294,-0.998,0.257,-33.325,-38.879,10.071
0.344,-0.972,0.376,-37.476,-33.813,12.573
0.380,-0.997,0.422,-49.622,-25.818,16.602
0.433,-1.042,0.307,-71.350,-13.855,23.743
0.397,-1.114,0.212,-91.248,-2.747,37.903
0.308,-1.141,0.128,-104.004,4.944,52.063
0.230,-1.093,0.068,-110.107,7.996,61.340
0.174,-1.005,0.077,-110.046,4.028,66.528
0.096,-0.926,0.039,-109.863,-6.592,69.641
0.035,-0.847,0.082,-103.027,-19.714,67.627
0.069,-0.772,0.190,-88.623,-27.649,56.335
0.120,-0.698,0.332,-77.637,-29.419,41.992
0.174,-0.614,0.506,-73.792,-27.832,30.945
0.220,-0.576,0.691,-80.078,-25.940,26.917
0.275,-0.608,0.723,-102.600,-25.085,30.151
0.360,-0.615,0.548,-141.724,-24.353,43.091
0.322,-0.670,0.373,-185.303,-28.381,68.176
0.201,-0.797,0.253,-221.802,-39.307,95.520
0.124,-0.881,0.187,-244.080,-55.115,112.122
0.125,-0.892,0.164,-248.657,-72.632,116.699
0.154,-0.830,0.231,-239.624,-87.585,115.784
0.163,-0.757,0.380,-228.760,-96.069,111.023
0.160,-0.660,0.526,-225.525,-99.060,105.347
0.141,-0.557,0.671,-226.318,-99.670,100.586
0.134,-0.474,0.821,-227.112,-97.351,94.971
0.155,-0.414,0.918,-232.910,-88.196,87.463
0.209,-0.411,0.915,-246.643,-72.571,77.881
0.246,-0.438,0.827,-265.320,-54.688,67.322
0.283,-0.466,0.786,-277.649,-38.391,61.218
0.293,-0.525,0.767,-282.654,-28.076,64.026
0.266,-0.566,0.751,-284.729,-24.353,70.740
0.254,-0.602,0.778,-286.865,-28.259,75.928
0.246,-0.584,0.826,-285.461,-40.588,78.918
0.274,-0.512,0.944,-281.311,-53.467,80.200
0.249,-0.437,1.104,-280.151,-65.308,83.740
0.243,-0.320,1.288,-286.377,-68.481,86.304
0.292,-0.220,1.427,-301.270,-65.613,84.595
0.359,-0.157,1.455,-324.585,-63.660,85.205
0.423,-0.091,1.363,-347.046,-64.758,93.811
0.473,-0.040,1.289,-362.732,-68.420,108.643
0.462,-0.047,1.182,-374.756,-79.834,124.695
0.419,-0.030,1.100,-380.737,-89.722,139.526
0.380,-0.026,0.984,-377.441,-98.511,145.386
0.369,0.001,0.904,-365.173,-103.577,140.381
0.347,0.038,0.858,-345.032,-101.746,128.113
0.293,0.094,0.876,-322.571,-91.003,114.258
0.192,0.159,0.910,-306.580,-74.463,102.234
0.098,0.237,0.881,-302.612,-58.533,94.971
0.029,0.322,0.795,-302.490,-47.607,92.224
-0.020,0.384,0.656,-302.490,-43.701,91.858
-0.075,0.464,0.573,-298.279,-44.495,91.431
-0.111,0.518,0.486,-292.236,-43.823,86.182
-0.128,0.598,0.383,-284.729,-41.077,75.684
-0.463,2.127,-0.610,28.870,53.589,54.688
-0.647,2.211,-0.536,36.804,46.631,41.870
-0.720,2.053,-0.421,39.612,27.832,18.250
-0.562,1.782,-0.291,40.710,0.549,-10.803
-0.339,1.460,-0.159,44.312,-26.733,-31.555
-0.160,1.192,-0.008,49.500,-44.495,-40.955
-0.040,1.000,0.136,53.955,-52.246,-39.856
0.043,0.870,0.233,54.443,-52.490,-30.212
0.072,0.789,0.279,49.622,-48.828,-17.151
0.070,0.729,0.302,41.260,-42.175,-4.578
0.048,0.680,0.311,33.020,-33.203,5.493
0.021,0.638,0.299,26.794,-23.621,12.390
-0.028,0.612,0.267,22.949,-15.076,17.029
-0.072,0.609,0.245,19.897,-6.653,20.508
-0.113,0.615,0.223,16.724,0.610,24.292
-0.188,0.626,0.186,13.062,4.028,29.297
-0.251,0.668,0.127,9.644,4.211,32.837
-0.303,0.741,0.059,8.240,4.211,34.973
-0.362,0.842,-0.003,8.484,3.723,36.499
-0.432,0.968,-0.061,8.545,2.380,36.072
-0.511,1.100,-0.094,7.324,1.282,33.691
-0.578,1.191,-0.124,4.272,0.000,28.992
-0.589,1.236,-0.160,1.038,-2.625,22.339
-0.569,1.241,-0.189,1.770,-5.920,15.503
-0.541,1.181,-0.187,8.240,-9.155,7.446
-0.495,1.095,-0.147,18.738,-12.207,-1.648
-0.455,1.006,-0.099,29.907,-14.771,-10.437
-0.403,0.924,-0.050,40.894,-16.846,-17.334
-0.347,0.855,0.001,50.232,-17.090,-21.973
-0.304,0.809,0.062,57.983,-16.235,-24.536
-0.261,0.769,0.120,62.683,-14.526,-24.841
-0.227,0.755,0.164,64.026,-12.817,-22.339
-0.205,0.768,0.205,63.049,-10.864,-18.860
-0.193,0.791,0.258,59.753,-8.911,-15.442
-0.191,0.827,0.297,53.040,-7.263,-12.146
-0.190,0.880,0.313,45.044,-5.493,-9.583
-0.197,0.915,0.313,39.001,-3.113,-8.911
-0.207,0.958,0.285,35.156,-1.282,-9.277
-0.213,1.012,0.255,32.288,0.488,-10.742
-0.233,1.043,0.233,30.640,2.380,-11.719
-0.243,1.063,0.223,28.625,4.272,-12.146
-0.238,1.091,0.235,25.024,5.371,-11.902
-0.241,1.088,0.261,19.775,5.676,-9.949
-0.248,1.052,0.266,12.939,5.432,-7.629
-0.240,1.007,0.263,6.287,5.310,-7.263
-0.223,0.969,0.252,1.953,5.371,-7.935
-0.207,0.935,0.229,1.038,5.005,-8.667
-0.193,0.909,0.211,2.808,5.249,-8.423
-0.189,0.902,0.196,6.470,6.226,-8.057
-0.210,0.899,0.186,11.902,7.568,-7.446
-0.259,0.902,0.169,20.203,7.874,-7.629
-0.302,0.950,0.113,35.217,5.981,-12.451
-0.323,1.019,0.078,58.289,4.883,-22.339
-0.341,1.089,0.103,86.365,3.296,-37.354
-0.328,1.120,0.109,113.525,2.502,-55.115
-0.279,1.142,0.151,136.902,4.944,-71.838
-0.218,1.139,0.229,157.043,8.301,-84.961
-0.212,1.085,0.329,177.673,14.648,-94.543
-0.129,1.170,0.402,198.486,24.231,-111.877
-0.048,1.276,0.516,216.492,38.513,-126.709
0.005,1.344,0.657,225.342,50.476,-130.493
0.004,1.405,0.839,220.520,54.443,-124.695
-0.020,1.475,0.933,204.895,44.800,-113.159
-0.023,1.447,0.950,179.138,27.405,-98.083
0.014,1.383,0.967,148.437,13.916,-87.280
0.083,1.310,0.932,123.840,7.263,-88.745
0.146,1.183,0.914,111.328,10.193,-97.839
0.254,1.001,0.922,112.366,21.790,-107.605
0.344,0.901,0.918,127.563,32.776,-112.366
0.351,0.837,0.873,150.635,37.231,-115.173
0.332,0.781,0.867,172.607,41.443,-122.437
0.257,0.768,0.905,189.636,47.424,-134.827
0.246,0.711,0.988,201.233,48.767,-147.583
0.304,0.762,0.948,203.674,32.166,-158.936
0.384,0.731,0.910,200.256,13.428,-152.405
0.413,0.600,0.854,193.970,0.305,-135.315
0.453,0.472,0.790,192.200,-11.169,-114.197
0.444,0.311,0.749,198.669,-19.531,-91.675
0.447,0.175,0.685,214.233,-19.531,-73.853
0.405,0.071,0.644,243.774,-10.681,-65.369
0.370,-0.013,0.640,280.945,0.183,-68.726
0.414,-0.006,0.685,314.697,9.888,-77.759
0.497,0.047,0.821,340.088,19.714,-82.520
0.564,0.066,0.957,349.243,32.837,-83.740
0.609,0.036,1.036,340.271,41.382,-83.984
0.675,0.019,1.015,320.068,41.321,-75.439
0.682,-0.019,0.925,298.035,37.354,-55.054
0.624,-0.121,0.784,282.104,38.208,-32.898
0.600,-0.253,0.613,279.236,47.485,-21.423
0.620,-0.320,0.464,291.138,66.528,-22.217
0.610,-0.355,0.405,314.880,91.797,-29.297
0.540,-0.388,0.411,336.365,114.990,-39.307
0.487,-0.383,0.443,346.436,126.526,-48.157
0.453,-0.374,0.529,344.360,120.850,-51.208
0.423,-0.343,0.577,325.134,99.548,-46.814
0.403,-0.371,0.570,291.382,70.740,-37.231
0.377,-0.416,0.464,256.409,41.504,-26.428
0.371,-0.484,0.309,234.314,17.944,-17.029
0.314,-0.552,0.219,229.004,6.226,-12.146
0.238,-0.599,0.189,236.877,2.319,-16.602
0.257,-0.635,0.269,246.460,5.859,-25.024
0.227,-0.632,0.315,251.160,4.456,-29.358
0.219,-0.641,0.420,249.390,0.305,-27.100
0.161,-0.642,0.514,238.586,-8.240,-23.621
0.091,-0.659,0.591,221.191,-19.165,-20.752
0.047,-0.651,0.582,201.660,-33.752,-19.653
0.037,-0.696,0.511,183.716,-45.898,-19.348
-0.034,-0.670,0.472,172.607,-53.284,-18.127
-0.048,-0.735,0.498,173.706,-64.453,-15.198
-0.131,-0.718,0.459,182.861,-57.678,-14.038
-0.169,-0.714,0.461,197.754,-47.852,-20.508
-0.185,-0.665,0.504,213.379,-33.508,-33.264
-0.195,-0.639,0.602,222.778,-25.879,-47.852
-0.162,-0.613,0.687,220.215,-22.949,-58.777
-0.096,-0.582,0.729,201.965,-26.184,-63.293
-0.017,-0.618,0.771,171.143,-31.860,-59.082
0.029,-0.625,0.703,135.803,-38.391,-49.561
0.027,-0.731,0.640,106.262,-42.053,-38.208
0.057,-0.808,0.508,85.815,-39.246,-32.898
-0.227,1.993,-0.661,12.024,48.645,76.050
-0.236,2.298,-0.907,11.353,37.964,71.045
-0.298,2.377,-1.007,8.545,28.259,57.251
-0.365,2.180,-0.936,12.451,9.583,34.668
-0.384,1.902,-0.765,23.437,-16.052,11.597
-0.273,1.582,-0.539,42.114,-38.391,-11.230
-0.093,1.330,-0.334,57.678,-54.077,-30.701
0.051,1.141,-0.166,69.031,-64.148,-37.476
0.140,0.986,-0.022,76.477,-66.589,-33.508
0.176,0.919,0.111,80.444,-63.782,-26.733
0.162,0.942,0.199,77.820,-55.481,-21.240
0.108,0.914,0.232,70.190,-40.588,-17.212
0.103,0.943,0.209,62.988,-25.391,-14.771
0.051,1.014,0.183,60.913,-16.113,-8.057
-0.042,1.040,0.138,60.974,-11.292,0.122
-0.109,1.076,0.084,58.899,-6.348,0.916
-0.158,1.124,0.040,58.228,0.977,-5.981
-0.184,1.156,0.013,62.622,5.920,-15.015
-0.204,1.212,-0.037,68.481,6.714,-22.339
-0.206,1.281,-0.081,73.120,6.836,-28.809
-0.210,1.350,-0.083,80.261,5.432,-34.973
-0.184,1.379,-0.088,93.384,2.014,-40.710
-0.122,1.419,-0.137,112.549,-1.648,-47.363
-0.078,1.445,-0.108,137.939,-2.563,-54.749
-0.045,1.430,-0.099,160.767,-1.465,-61.462
-0.052,1.442,-0.127,186.279,0.061,-65.247
-0.085,1.441,-0.111,223.999,-1.282,-69.336
-0.119,1.446,-0.045,260.132,1.099,-76.050
-0.174,1.429,0.057,289.246,6.775,-85.693
-0.199,1.421,0.190,311.646,13.123,-97.717
-0.178,1.360,0.328,326.965,17.883,-109.070
-0.094,1.206,0.419,335.754,21.179,-116.333
-0.007,1.063,0.405,341.309,26.245,-118.042
0.044,0.952,0.392,349.976,37.720,-122.070
0.048,0.839,0.435,362.000,53.406,-133.057
0.083,0.788,0.466,368.286,66.589,-150.635
0.200,0.769,0.564,365.417,75.562,-168.823
0.322,0.620,0.609,352.234,78.186,-175.781
0.463,0.524,0.579,337.402,79.773,-167.053
0.513,0.380,0.544,337.952,79.285,-149.109
0.520,0.244,0.524,349.304,80.444,-131.348
0.471,0.187,0.519,370.728,85.754,-122.314
0.422,0.156,0.542,390.686,94.849,-128.113
0.430,0.248,0.570,400.879,103.638,-146.118
0.502,0.303,0.614,402.405,104.431,-162.231
0.582,0.290,0.678,388.123,98.389,-163.757
0.604,0.249,0.725,358.765,84.778,-149.292
0.581,0.151,0.725,323.792,65.735,-125.427
0.520,0.074,0.690,296.387,47.424,-100.464
0.459,-0.035,0.624,288.696,38.147,-82.336
0.393,-0.060,0.558,303.101,41.809,-76.538
0.349,-0.090,0.513,330.200,60.486,-84.656
0.278,-0.029,0.582,358.887,84.045,-106.995
0.190,0.081,0.749,376.770,99.915,-135.071
0.152,0.166,0.878,367.798,100.342,-155.701
0.147,0.218,0.913,332.825,90.088,-162.048
0.134,0.210,0.880,280.518,72.937,-158.813
0.147,0.174,0.740,227.051,57.861,-150.940
0.101,0.057,0.570,192.017,51.636,-143.311
0.062,-0.093,0.399,180.908,61.035,-143.616
0.000,-0.191,0.257,193.970,83.008,-152.283
-0.090,-0.332,0.228,221.008,107.239,-167.847
-0.146,-0.431,0.292,246.948,124.390,-188.232
-0.189,-0.506,0.395,263.733,127.625,-207.275
-0.153,-0.602,0.493,266.846,115.967,-219.482
-0.053,-0.665,0.576,254.517,95.032,-221.069
0.051,-0.749,0.603,230.469,71.228,-210.632
0.106,-0.819,0.563,203.247,53.589,-192.810
0.130,-0.956,0.505,184.204,46.265,-176.208
0.182,-1.047,0.398,174.988,47.974,-164.062
0.221,-1.082,0.240,172.485,55.298,-154.907
0.207,-1.097,0.133,175.903,64.880,-147.949
0.149,-1.126,0.095,181.152,72.510,-142.334
0.080,-1.128,0.104,183.411,74.219,-135.681
0.024,-1.125,0.137,180.786,66.223,-126.099
0.030,-1.177,0.177,170.532,51.025,-114.319
0.048,-1.189,0.152,153.076,32.043,-99.365
0.079,-1.226,0.081,137.756,9.888,-80.627
0.112,-1.252,0.011,121.887,-5.615,-62.683
0.075,-1.263,-0.026,111.511,-12.817,-45.105
0.006,-1.237,-0.020,111.084,-14.404,-29.846
-0.076,-1.178,0.002,112.976,-11.414,-19.592
-0.149,-1.108,0.028,110.535,-6.470,-13.916
-0.220,-0.922,0.004,108.215,-1.648,-9.460
-0.292,-1.021,0.167,113.831,4.333,-4.700
-0.301,-0.986,0.181,111.084,12.695,-6.409
-0.272,-0.981,0.135,99.792,19.165,-8.789
-0.277,-0.986,0.008,84.778,18.799,-7.568
-0.363,-1.022,-0.082,66.223,11.780,-3.113
-0.416,-1.078,-0.177,50.598,0.488,3.296
-0.425,-1.087,-0.269,42.908,-11.475,8.423
-0.426,-1.098,-0.278,46.021,-19.653,12.268
-0.456,-1.058,-0.184,54.321,-20.020,12.573
-0.439,-0.985,-0.062,61.523,-12.512,7.324
-0.419,-0.914,0.057,59.753,-2.625,-0.122
-0.398,-0.866,0.096,48.157,3.052,-1.282
-0.398,-0.845,0.047,34.180,3.662,5.432
-0.420,-0.878,-0.001,21.729,2.380,13.245
-0.463,-0.905,-0.078,9.216,4.639,14.099
-0.512,-0.972,-0.113,6.592,8.118,8.850
-0.466,-0.974,-0.121,9.705,12.024,-1.282
-0.377,-0.972,-0.092,12.085,14.709,-8.362
-0.309,-0.958,-0.079,9.399,15.381,-10.437
-0.257,-0.938,-0.093,1.221,15.503,-10.254
-0.170,-0.903,-0.182,-9.155,16.479,-9.888
-0.129,-0.884,-0.290,-19.348,18.311,-8.911
-0.153,-0.909,-0.378,-27.893,21.484,-7.874
-0.177,-0.936,-0.460,-32.654,22.827,-8.911
-0.213,-0.963,-0.516,-33.142,19.897,-9.644
-0.230,-0.993,-0.542,-29.724,11.597,-10.193
-0.212,-1.015,-0.512,-24.902,1.343,-11.902
-0.141,-1.033,-0.451,-20.691,-8.362,-13.184
-0.082,-1.065,-0.366,-17.334,-16.479,-12.024
-0.038,-1.087,-0.275,-15.869,-21.667,-9.521
0.010,-1.103,-0.178,-16.602,-23.804,-6.348
0.068,-1.113,-0.126,-18.738,-21.790,-3.296
0.073,-1.137,-0.081,-20.569,-16.968,0.977
0.042,-1.156,-0.039,-21.301,-9.827,5.493
0.005,-1.163,-0.011,-22.522,-3.174,7.996
0.558,1.060,0.925,-148.621,-37.964,238.037
0.481,1.163,0.906,-150.269,-23.499,246.216
0.374,1.221,0.877,-144.958,-8.179,246.033
0.285,1.245,0.835,-138.062,6.836,238.892
0.288,1.281,0.818,-126.770,22.400,229.309
0.252,1.373,0.842,-109.436,32.288,221.619
0.165,1.392,0.876,-98.389,35.950,217.590
0.145,1.481,0.897,-97.534,36.255,214.111
-0.108,2.155,0.940,-93.567,34.241,199.280
0.147,2.334,1.172,-76.355,42.053,142.212
0.091,2.464,1.271,-62.805,73.669,78.918
0.288,2.433,1.048,-65.491,104.309,46.326
0.315,2.296,0.644,-60.425,95.581,36.255
0.220,1.818,0.603,-36.865,77.698,36.072
0.155,1.436,0.676,-21.606,67.261,27.954
0.059,1.136,0.641,-19.470,55.664,17.517
0.028,0.882,0.482,-17.578,42.786,7.324
0.038,0.665,0.365,-7.690,33.081,-2.563
0.073,0.548,0.323,5.981,27.283,-14.587
0.102,0.467,0.306,18.799,21.667,-24.353
0.088,0.402,0.302,28.198,17.334,-29.297
0.051,0.374,0.307,39.551,13.672,-35.828
0.033,0.371,0.349,59.937,10.925,-48.401
0.025,0.407,0.439,91.492,7.263,-64.453
0.037,0.465,0.571,125.427,3.235,-80.811
0.083,0.511,0.731,154.236,1.221,-95.764
0.194,0.589,0.892,176.270,0.977,-111.267
0.309,0.686,1.088,185.242,3.235,-121.460
0.369,0.737,1.238,177.917,7.324,-121.460
0.421,0.717,1.289,161.316,12.024,-116.333
0.431,0.706,1.240,149.780,18.005,-112.122
0.412,0.697,1.280,158.752,27.466,-114.624
0.326,0.717,1.329,179.382,35.950,-125.122
0.308,0.747,1.360,197.998,39.246,-139.343
0.363,0.802,1.430,207.764,38.574,-152.832
0.439,0.823,1.517,207.642,36.133,-160.034
0.509,0.804,1.572,199.646,38.025,-162.903
0.541,0.665,1.502,187.622,46.082,-167.419
0.493,0.589,1.453,184.998,65.063,-179.138
0.503,0.506,1.419,206.299,94.482,-204.956
0.562,0.501,1.444,229.736,124.512,-234.924
0.558,0.456,1.484,244.202,138.977,-251.404
0.612,0.396,1.539,248.413,139.771,-254.028
0.648,0.420,1.547,241.089,128.967,-245.300
0.664,0.375,1.493,225.708,118.225,-230.042
0.729,0.311,1.406,200.928,117.126,-215.027
0.623,0.268,1.192,178.223,117.859,-205.078
0.550,0.151,1.025,164.734,126.648,-200.317
0.502,0.060,0.852,158.752,138.855,-202.881
0.455,-0.009,0.758,163.269,151.855,-210.999
0.424,-0.068,0.800,175.903,159.180,-220.215
0.424,-0.071,0.830,190.613,157.654,-227.722
0.455,-0.059,0.823,194.458,151.917,-230.408
0.485,-0.073,0.795,186.157,146.729,-227.173
0.511,-0.135,0.749,170.349,143.188,-219.910
0.525,-0.190,0.670,151.062,141.235,-209.961
0.474,-0.215,0.575,136.902,136.719,-196.167
0.380,-0.233,0.439,128.113,130.859,-182.739
0.287,-0.243,0.336,120.850,127.380,-176.880
0.220,-0.301,0.277,115.601,126.282,-179.565
0.206,-0.389,0.221,113.586,123.596,-185.425
0.242,-0.417,0.177,115.784,118.713,-192.444
0.251,-0.418,0.168,120.728,112.244,-197.754
0.203,-0.401,0.181,124.451,104.614,-199.951
0.167,-0.399,0.183,125.183,92.834,-199.951
0.178,-0.415,0.196,119.873,80.383,-197.937
0.229,-0.437,0.175,111.755,70.435,-195.129
0.226,-0.480,0.174,103.333,64.697,-189.636
0.211,-0.504,0.177,93.079,61.035,-181.458
0.192,-0.520,0.130,82.581,55.542,-172.913
0.128,-0.563,0.134,75.562,48.523,-165.649
0.035,-0.571,0.096,67.322,40.894,-162.231
-0.001,-0.547,0.021,60.303,31.433,-160.645
-0.027,-0.568,0.000,58.289,18.982,-159.973
-0.066,-0.581,0.030,55.908,8.972,-159.729
-0.088,-0.565,0.039,52.429,-1.526,-160.461
-0.085,-0.573,0.095,54.321,-11.047,-161.011
-0.087,-0.578,0.126,59.753,-21.179,-161.011
-0.075,-0.503,0.124,64.270,-29.358,-158.264
-0.105,-0.405,0.119,68.542,-36.194,-153.442
-0.186,-0.328,0.130,68.665,-44.189,-148.682
-0.254,-0.225,0.097,60.852,-54.565,-145.874
-0.301,-0.202,0.056,49.316,-66.223,-142.883
-0.306,-0.252,0.071,38.025,-72.571,-142.151
-0.291,-0.325,0.075,32.715,-74.585,-142.883
-0.266,-0.354,0.076,33.936,-71.350,-142.273
-0.290,-0.413,0.134,36.865,-62.317,-141.357
-0.363,-0.434,0.144,33.936,-53.711,-141.235
-0.407,-0.494,0.126,27.039,-52.917,-139.771
-0.403,-0.562,0.135,13.672,-55.054,-136.475
-0.385,-0.689,0.190,-4.761,-54.504,-131.958
-0.328,-0.838,0.165,-25.085,-50.293,-128.906
-0.256,-0.993,0.089,-41.809,-41.443,-124.084
-0.244,-1.168,0.029,-48.157,-30.884,-113.953
-0.266,-1.307,-0.017,-46.509,-19.531,-101.929
-0.300,-1.418,-0.020,-39.063,-9.583,-90.149
-0.337,-1.482,-0.022,-30.701,-4.333,-77.942
-0.345,-1.510,0.010,-23.865,-3.479,-65.125
-0.348,-1.514,0.026,-20.813,-6.531,-51.208
-0.343,-1.509,0.052,-21.423,-11.414,-36.194
-0.340,-1.498,0.076,-23.621,-14.832,-21.179
-0.327,-1.469,0.076,-24.048,-14.404,-7.507
